scenario,time,active_operating_mode_name,fleet_shift_count,fleet_shift_timer,face1_target_extraction_rate,face1_real_extraction_rate,face1_achieved_extraction_rate,face1_operational_downtime_fraction,face2_target_extraction_rate,face2_real_extraction_rate,face2_achieved_extraction_rate,face2_operational_downtime_fraction,total_target_extraction_rate,total_real_extraction_rate,total_achieved_extraction_rate,capacity_gap_rate,capacity_utilization,Ore1Stock_mass,Ore2Stock_mass,total_system_ore_mass,mixed_ore1_fraction
Equal Fleet Allocation,13.015863690065459,MODE_A,27,0.01586369006545768,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,49809.51821403927,10190.481785960725,60000.0,0.6626875139623398
Equal Fleet Allocation,13.5,MODE_A,28,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,49991.61402417145,10008.385975828542,59999.99999999999,0.6626875139623398
Equal Fleet Allocation,13.731815907203305,MODE_A,28,0.23181590720330617,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,50078.80580168845,9921.194198311543,60000.0,0.6691026383197076
Equal Fleet Allocation,14.0,MODE_A,29,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,50189.999171894226,9810.000828105769,59999.99999999999,0.6691026383197076
Equal Fleet Allocation,14.5,MODE_A,30,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,50397.30708685335,9602.692913146646,59999.99999999999,0.6691026383197076
Equal Fleet Allocation,15.0,MODE_A,31,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,50604.61500181247,9395.384998187523,59999.99999999999,0.6691026383197076
Equal Fleet Allocation,15.5,MODE_A,32,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,50811.92291677159,9188.0770832284,59999.999999999985,0.6691026383197076
Equal Fleet Allocation,16.0,MODE_A,33,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,51019.23083173071,8980.769168269277,59999.999999999985,0.6691026383197076
Equal Fleet Allocation,16.5,MODE_A,34,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,51226.53874668983,8773.461253310154,59999.999999999985,0.6691026383197076
Equal Fleet Allocation,17.0,MODE_A,35,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,51433.84666164895,8566.15333835103,59999.999999999985,0.6691026383197076
Equal Fleet Allocation,17.5,MODE_A,36,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,51641.154576608074,8358.845423391907,59999.999999999985,0.6691026383197076
Equal Fleet Allocation,18.0,MODE_A,37,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,51848.462491567196,8151.537508432784,59999.99999999998,0.6691026383197076
Equal Fleet Allocation,18.5,MODE_A,38,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,52055.77040652632,7944.229593473661,59999.99999999998,0.6691026383197076
Equal Fleet Allocation,19.0,MODE_A,39,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,52263.07832148544,7736.921678514538,59999.99999999998,0.6691026383197076
Equal Fleet Allocation,19.5,MODE_A,40,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,52470.38623644456,7529.613763555415,59999.99999999997,0.6691026383197076
Equal Fleet Allocation,20.0,MODE_A,41,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,52677.69415140368,7322.305848596292,59999.99999999997,0.6691026383197076
Equal Fleet Allocation,20.5,MODE_A,42,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,52885.0020663628,7114.997933637169,59999.99999999997,0.6691026383197076
Equal Fleet Allocation,21.0,MODE_A,43,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,53092.30998132192,6907.690018678046,59999.99999999997,0.6691026383197076
Equal Fleet Allocation,21.5,MODE_A,44,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,53299.617896281045,6700.382103718923,59999.99999999997,0.6691026383197076
Equal Fleet Allocation,22.0,MODE_A,45,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,53506.925811240166,6493.0741887598,59999.99999999996,0.6691026383197076
Equal Fleet Allocation,22.5,MODE_A,46,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,53714.23372619929,6285.766273800677,59999.99999999996,0.6691026383197076
Equal Fleet Allocation,23.0,MODE_A,47,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,53921.54164115841,6078.4583588415535,59999.99999999996,0.6691026383197076
Equal Fleet Allocation,23.5,MODE_A,48,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,54128.84955611753,5871.15044388243,59999.999999999956,0.6691026383197076
Equal Fleet Allocation,24.0,MODE_A,49,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,54336.15747107665,5663.842528923307,59999.999999999956,0.6691026383197076
Equal Fleet Allocation,24.5,MODE_A,50,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,54543.46538603577,5456.534613964184,59999.999999999956,0.6691026383197076
Equal Fleet Allocation,25.0,MODE_A,51,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,54750.77330099489,5249.226699005061,59999.999999999956,0.6691026383197076
Equal Fleet Allocation,25.5,MODE_A,52,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,54958.081215954015,5041.918784045938,59999.999999999956,0.6691026383197076
Equal Fleet Allocation,26.0,MODE_A,53,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,55165.389130913136,4834.610869086815,59999.99999999995,0.6691026383197076
Equal Fleet Allocation,26.5,MODE_A,54,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,55372.69704587226,4627.302954127692,59999.99999999995,0.6691026383197076
Equal Fleet Allocation,26.93176254906477,MODE_A,54,0.4317625490647721,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,55551.71263348036,4448.287366519584,59999.99999999994,0.6678038111175397
Equal Fleet Allocation,27.0,MODE_A,55,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,55579.47318888649,4420.5268111134565,59999.99999999995,0.6678038111175397
Equal Fleet Allocation,27.14454016748201,MODE_A,55,0.14454016748200957,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,55638.27543417558,4361.72456582437,59999.99999999995,0.6631832047247168
Equal Fleet Allocation,27.5,MODE_A,56,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,55773.02998239196,4226.970017607983,59999.99999999995,0.6631832047247168
Equal Fleet Allocation,28.0,MODE_A,57,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,55962.57959656612,4037.4204034338327,59999.99999999995,0.6631832047247168
Equal Fleet Allocation,28.5,MODE_A,58,0.0,3000.0,5928750.0,3000.0,0.0,3000.0,5292368.421052632,3000.0,0.0,6000.0,11221118.421052631,6000.0,0.0,1.0,56152.12921074027,3847.870789259682,59999.99999999995,0.6631832047247168
